date,athlete_name,Peak Power / BM,grid_week
06/10/2024,Kat Lazor,42.69,2
06/17/2024,Betty Velkova,45.971,3
06/17/2024,Kat Lazor,42.38133333333334,3
06/24/2024,Allie Love,40.329,4
06/24/2024,Camille Quarterman,54.63466666666667,4
06/24/2024,Dayo Tennyson,54.61233333333333,4
06/24/2024,Lilly Reuscher,53.013666666666666,4
06/24/2024,Taylor Rish,50.81,4
07/01/2024,Betty Velkova,46.773,5
07/01/2024,Kat Lazor,51.97833333333333,5
07/01/2024,Camille Quarterman,53.956500000000005,5
07/01/2024,Lilly Reuscher,51.61066666666667,5
07/01/2024,Dayo Tennyson,53.571333333333335,5
07/01/2024,Allie Love,39.57966666666667,5
07/15/2024,Jules Johnston,43.93366666666666,7
07/15/2024,Taylor Rish,52.45066666666667,7
07/15/2024,Mariana Elizondo,45.324333333333335,7
07/15/2024,Kat Lazor,54.04833333333334,7
07/15/2024,Carsyn Martz,53.35,7
07/15/2024,Betty Velkova,43.59233333333333,7
07/15/2024,Lilly Reuscher,47.785666666666664,7
07/15/2024,Mia Brumlow,49.1245,7
07/15/2024,Kirsten Ruf,53.77766666666667,7
07/15/2024,Catarina Albuquerque,51.281000000000006,7
07/15/2024,Jessica Molina,49.525,7
07/15/2024,Lauren Pickup,54.10066666666666,7
07/15/2024,Kenna Sanders,38.19,7
07/15/2024,Dayo Tennyson,52.73866666666667,7
07/15/2024,Allison Padron,44.18075,7
07/15/2024,Gabriela Quintero,43.487,7
07/15/2024,Camille Quarterman,57.57833333333334,7
07/22/2024,Kat Lazor,58.58033333333333,8
07/22/2024,Jules Johnston,51.637,8
07/22/2024,Mia Brumlow,44.901,8
07/22/2024,Lauren Pickup,52.643,8
07/22/2024,Gabriela Quintero,43.648,8
07/22/2024,Mariana Elizondo,46.30633333333333,8
07/22/2024,Allison Padron,46.10833333333333,8
07/22/2024,Kenna Sanders,36.778333333333336,8
07/22/2024,Dayo Tennyson,51.287,8
07/22/2024,Allie Love,44.04366666666667,8
07/22/2024,Camille Quarterman,58.209666666666664,8
07/22/2024,Faith Hutchins,46.79966666666667,8
07/30/2024,Naija Bruckner,51.24533333333333,9
07/30/2024,Faith Hutchins,51.405,9
07/30/2024,Catarina Albuquerque,49.995000000000005,9
07/30/2024,Isabelle Kent,48.95366666666666,9
07/30/2024,Dayo Tennyson,52.005,9
07/30/2024,Lilly Reuscher,47.1485,9
07/30/2024,Jordyn Mariam,51.02333333333333,9
07/30/2024,Bailey Peek,52.588,9
07/30/2024,Betty Velkova,44.62033333333333,9
07/30/2024,Kallie McKinney,45.64,9
07/30/2024,Natalie Gorji,47.751,9
07/30/2024,Mikala Furuto,50.044,9
07/30/2024,Natalie Diaz,42.19733333333333,9
07/30/2024,Kat Lazor,55.58533333333333,9
07/30/2024,Taylor Rish,53.95633333333333,9
07/30/2024,Allison Padron,49.038,9
07/30/2024,Kenna Sanders,38.025666666666666,9
07/30/2024,Jules Johnston,47.226,9
07/30/2024,Jessica Molina,53.911,9
07/30/2024,Mariana Elizondo,49.843,9
07/30/2024,Lauren Pickup,56.10633333333334,9
07/30/2024,Mia Brumlow,44.742333333333335,9
07/30/2024,Piper Biziorek,38.13033333333333,9
07/30/2024,Kirsten Ruf,53.69233333333333,9
07/30/2024,Carsyn Martz,59.357,9
07/30/2024,Gabriela Quintero,47.042,9
07/30/2024,Camille Quarterman,58.666333333333334,9
07/30/2024,Allie Love,45.12766666666667,9
07/30/2024,Sophie Zhang,52.33866666666666,9
08/03/2024,Kat Lazor,54.8735,9
08/03/2024,Mariana Elizondo,49.46333333333333,9
08/03/2024,Natalie Diaz,40.64366666666667,9
08/03/2024,Gabriela Quintero,44.1615,9
08/03/2024,Catarina Albuquerque,50.11633333333333,9
08/03/2024,Isabelle Kent,49.095,9
08/03/2024,Mia Brumlow,45.852666666666664,9
08/03/2024,Jordyn Mariam,48.63133333333334,9
08/03/2024,Bailey Peek,54.619,9
08/03/2024,Kirsten Ruf,52.413,9
08/03/2024,Kenna Sanders,38.857,9
08/03/2024,Allison Padron,49.9665,9
08/03/2024,Lilly Reuscher,47.71366666666666,9
08/03/2024,Dayo Tennyson,51.364666666666665,9
08/03/2024,Camille Quarterman,55.85933333333333,9
08/03/2024,Megan Sweeney,46.74066666666667,9
08/03/2024,Allie Love,47.10766666666667,9
08/03/2024,Faith Hutchins,47.959333333333326,9
08/03/2024,Natalie Gorji,51.185,9
08/03/2024,Mikala Furuto,50.56366666666667,9
08/03/2024,Kallie McKinney,42.739,9
08/03/2024,Claire Tracy,37.3305,9
08/03/2024,Lauren Pickup,53.27766666666667,9
08/03/2024,Jessica Molina,52.788333333333334,9
08/03/2024,Carsyn Martz,56.8125,9
08/03/2024,Jules Johnston,46.769499999999994,9
08/03/2024,Sophie Zhang,51.851333333333336,9
08/03/2024,Naija Bruckner,50.95,9
08/03/2024,Betty Velkova,43.8355,9
08/03/2024,Piper Biziorek,38.5835,9
08/03/2024,Taylor Rish,53.87533333333334,9
08/10/2024,Isabelle Kent,45.849333333333334,10
08/10/2024,Catarina Albuquerque,48.279,10
08/10/2024,Lilly Reuscher,49.121,10
08/10/2024,Faith Hutchins,45.413999999999994,10
08/10/2024,Natalie Diaz,40.534499999999994,10
08/10/2024,Dayo Tennyson,55.14166666666667,10
08/10/2024,Natalie Gorji,49.677499999999995,10
08/10/2024,Mikala Furuto,49.973,10
08/10/2024,Kirsten Ruf,52.414,10
08/10/2024,Naija Bruckner,49.405,10
08/10/2024,Kallie McKinney,45.208,10
08/10/2024,Jessica Molina,49.469,10
08/10/2024,Carsyn Martz,63.012,10
08/10/2024,Piper Biziorek,35.29366666666667,10
08/10/2024,Mariana Elizondo,49.04,10
08/10/2024,Gabriela Quintero,42.711333333333336,10
08/10/2024,Kat Lazor,53.27166666666667,10
08/10/2024,Bailey Peek,48.34466666666666,10
08/10/2024,Jordyn Mariam,48.535333333333334,10
08/10/2024,Allie Love,47.137,10
08/10/2024,Lauren Pickup,53.962,10
08/10/2024,Sophie Zhang,48.763,10
08/10/2024,Betty Velkova,41.217,10
08/10/2024,Camille Quarterman,54.549,10
08/10/2024,Kenna Sanders,43.3305,10
08/10/2024,Jules Johnston,50.66833333333333,10
08/10/2024,Taylor Rish,51.4075,10
08/10/2024,Mia Brumlow,45.535,10
08/10/2024,Claire Tracy,39.693000000000005,10
08/12/2024,Isabelle Kent,48.464,11
08/12/2024,Betty Velkova,42.60933333333333,11
08/12/2024,Piper Biziorek,33.571,11
08/12/2024,Claire Tracy,31.2875,11
08/12/2024,Claire Tracy,37.346,11
