date,Session Title,athlete_name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (miles),Sprint Distance (yards),AccelerationsPower Plays,Impacts,Hr Load,Top Speed (mph),meterage_per_minute,Power Score (w/kg),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Player Load Per Min,total_player_load,Sprints Per Min
11/07/2024,Conference vs Memphis,Camille,game, game,45603.81559184,45603.89787515,2565,2.6482,604.1014,,1,0.0,17.6223,99.69319152,3.3285,6.2667,5.7493,4.3636,186.5429,0.4678
11/07/2024,Conference vs Memphis,Cat,game, game,45603.81559184,45603.89787515,5877,5.8511,594.0358,,99,0.0,15.778,96.13434672,7.0944,8.1482,5.4,4.5416,444.8526,0.1838
11/07/2024,Conference vs Memphis,Jules,game, game,45603.81559184,45603.89787515,1809,1.8679,193.3841,,31,0.0,15.1417,99.70388999999999,2.3076,6.0534,3.9186,4.9413,148.9815,0.2653
11/07/2024,Conference vs Memphis,Kallie,game, game,45603.81559184,45603.89787515,4368,5.0269,554.6462,,7,0.0,15.0721,111.12593472,6.2509,6.5201,5.0667,6.2378,454.1148,0.206
11/07/2024,Conference vs Memphis,Taylor,game, game,45603.81559184,45603.89787515,3349,3.3028,704.4795,,1,0.0,16.6032,95.22817631999999,4.1632,6.3334,4.7556,4.2385,236.5786,0.4479
11/07/2024,Conference vs Memphis,Gorji,game, game,45603.81559184,45603.89787515,4057,4.3887,882.6581,,79,0.0,17.155,104.45456376,5.3853,6.1,5.2445,4.99,337.4051,0.3402
11/07/2024,Conference vs Memphis,Sophie,game, game,45603.81559184,45603.89787515,3141,3.096,555.7693,,2,0.0,15.8575,95.1771528,3.8901,6.5112,5.0667,4.5543,238.4194,0.3247
11/07/2024,Conference vs Memphis,Allie,game, game,45603.81559184,45603.89787515,5163,6.2552,1154.0943,,4,0.0,16.3845,116.98760448,7.8292,6.7186,5.4,5.0714,436.3912,0.4532
11/07/2024,Conference vs Memphis,Lilly,game, game,45603.81559184,45603.89787515,6166,5.6637,638.6584,,3,0.0,16.6032,88.69396535999999,6.8384,6.5859,4.7637,3.9791,408.9228,0.1654
11/07/2024,Conference vs Memphis,Lauren,game, game,45603.81559184,45603.89787515,4048,4.4109,843.6501,,2,0.0,16.7722,105.21680760000001,5.532,5.9186,4.76,4.8556,327.5924,0.4002
