athlete_name,catapult_athlete_id,date,end_time,activity_name,athlete_weight,activity_id,athlete_jersey,start_time,position_name,team_name,month_name,day_name,field_time,bench_time,total_distance,total_duration,peak_player_load,total_player_load,total_2d_player_load,total_slow_player_load,total_1d_fwd_player_load,total_1d_side_player_load,total_1d_up_player_load,velocity_exertion,max_vel,peak_meta_power,equivalent_distance,meterage_per_minute
Mariana Elizondo,c3d64405-eb5d-4fc0-a8df-06af8ad627bf,10/01/2025,1759330895.77,Train sub 10.1.25,201,922e2c71-0294-422c-bf59-e5ac78effb71,10,1759328806.4,Central Midfielder,Rice WSOC,October,Wednesday,2089.36,,1.22538,2089.37,3.77308,305.92429,192.12842,212.79576,119.43997,125.60148,204.2957,10.47249,11.60459,49.32781,1.39602,57.75805
Naija Bruckner,59840313-0841-4a21-a5b5-b8b24cad01b8,10/01/2025,1759330895.77,Train sub 10.1.25,201,922e2c71-0294-422c-bf59-e5ac78effb71,28,1759328806.4,Central Midfielder,Rice WSOC,October,Wednesday,2089.36,,1.15422,2089.37,4.12994,303.67731,185.88307,183.60359,113.02683,123.93385,209.2821,8.25617,11.85543,65.29938,1.37473,53.60643
Kallie Mckinney,41be207d-131f-472d-a349-6832380579b4,10/01/2025,1759330895.77,Train sub 10.1.25,201,922e2c71-0294-422c-bf59-e5ac78effb71,27,1759328806.4,Central Midfielder,Rice WSOC,October,Wednesday,2089.37,,1.01055,2089.37,3.18551,259.23676,160.53148,181.26183,98.30632,105.01717,175.07547,7.5041,10.65578,50.23704,1.15735,46.70298
Laurel Kelley,a3fa5f45-c40a-44d8-ae81-6ac82f3fc9ef,09/28/2025,1759082664.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,21,1759075453.0,Forward,Rice WSOC,September,Sunday,6129.0,,1.75682,6129.0,3.82602,334.70966,218.32602,129.77425,125.66196,153.42175,218.44781,25.33447,15.31442,67.44082,1.9979,27.67815
Carsyn Martz,5ec6f0de-aa33-44a6-9b7e-676076c27478,09/28/2025,1759082664.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,20,1759075453.0,Centre Back,Rice WSOC,September,Sunday,6129.0,,5.63531,6129.0,8.2685,846.7193,482.82454,305.34268,281.83687,331.94984,610.35631,63.76723,16.94689,87.15717,6.27189,88.78265
Sophie Zhang,713ce913-8f9b-41cb-b395-b08e3e69186f,09/28/2025,1759082664.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,9,1759075453.0,Forward,Rice WSOC,September,Sunday,6129.0,,1.24238,6129.0,4.80571,277.00089,176.78925,124.77475,102.10712,120.90942,182.37265,16.9666,12.79839,79.10137,1.40802,19.5734
Taylor Rish,81828efc-2855-4216-a0d1-6a7c9201d5a0,09/28/2025,1759082664.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,7,1759075453.0,Full Back,Rice WSOC,September,Sunday,6129.0,,4.01179,6129.0,6.21063,643.74384,368.38554,233.95605,227.7759,240.4746,470.26057,51.7492,16.18675,97.97195,4.54207,63.20455
Leah Chancey,85ed14d3-34f0-42fc-8477-c03064e998f4,09/28/2025,1759082664.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,23,1759075453.0,Forward,Rice WSOC,September,Sunday,6129.0,,5.11356,6129.0,5.76139,828.3576,491.99581,285.27382,290.29848,331.04107,576.43466,66.1561,14.84801,75.44496,5.61109,80.56263
Jadyn Jaeger,8e9bb6cd-180e-47be-afa1-39abe9300b25,09/28/2025,1759082664.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,11,1759075453.0,Full Back,Rice WSOC,September,Sunday,6129.0,,4.41991,6129.0,4.35053,612.08125,403.56271,213.92677,259.99306,254.00645,392.09624,60.96947,18.00322,68.65994,4.93905,69.63436
Jules Johnston,931babc9-289c-47bf-970a-22d756ac9f5a,09/28/2025,1759078506.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,25,1759075453.0,Forward,Rice WSOC,September,Sunday,3053.0,,0.90216,3053.0,4.27618,181.42456,112.67181,86.47723,60.58508,82.1815,122.70001,9.52582,13.21062,68.44766,1.019,28.53375
Eileen Albers,943afa05-aaac-4426-ba0c-1ebef4e76cb7,09/28/2025,1759082664.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,12,1759075453.0,Forward,Rice WSOC,September,Sunday,6129.0,,4.76832,6129.0,5.28617,753.58978,428.6796,260.45078,252.69154,293.10773,549.61508,60.6941,15.44992,78.35605,5.3392,75.12359
