date,avg_peak_power,n_athletes,grid_week,month
08/15/2024,53.45907894736842,19,11,Aug 2024
08/18/2024,50.61348245614035,19,11,Aug 2024
08/20/2024,53.916697916666664,16,12,Aug 2024
08/25/2024,52.04325,16,12,Aug 2024
08/27/2024,55.96791111111111,15,13,Aug 2024
08/29/2024,53.73164444444445,15,13,Aug 2024
09/01/2024,52.08609523809524,14,13,Aug 2024
09/03/2024,53.668933333333335,15,14,Sep 2024
09/05/2024,53.959611111111116,15,14,Sep 2024
09/08/2024,56.722944444444444,15,14,Sep 2024
09/10/2024,57.07687878787879,11,15,Sep 2024
09/12/2024,57.11619444444444,12,15,Sep 2024
09/17/2024,59.99688333333334,10,16,Sep 2024
09/26/2024,58.14967857142857,14,17,Sep 2024
09/28/2024,57.60739285714286,14,17,Sep 2024
10/01/2024,55.98540740740741,9,18,Oct 2024
10/03/2024,55.377240740740746,9,18,Oct 2024
10/13/2024,55.84060606060606,11,19,Oct 2024
10/23/2024,57.623347222222215,12,21,Oct 2024
10/27/2024,57.12140277777778,12,21,Oct 2024
10/30/2024,57.29237878787879,11,22,Oct 2024
08/05/2025,56.682907407407406,18,62,Aug 2025
08/08/2025,55.41587962962963,18,62,Aug 2025
08/14/2025,56.992444444444445,18,63,Aug 2025
08/19/2025,56.95670175438596,19,64,Aug 2025
08/21/2025,57.42279824561403,19,64,Aug 2025
08/26/2025,59.307861111111116,12,65,Aug 2025
08/28/2025,57.04783333333333,15,65,Aug 2025
09/02/2025,58.59938888888889,12,66,Sep 2025
09/07/2025,56.70565555555556,15,66,Sep 2025
09/09/2025,60.974576923076924,13,67,Sep 2025
09/16/2025,60.38417948717949,13,68,Sep 2025
09/18/2025,58.29427380952381,14,68,Sep 2025
09/21/2025,58.63364285714285,14,68,Sep 2025
09/23/2025,60.37555555555556,12,69,Sep 2025
09/28/2025,58.23588095238095,14,69,Sep 2025
