event,average_meterage_per_minute,grid_week,month,n_active_athletes
game,50.942969672727266,11,Aug 2024,21
game,52.11059722105263,11,Aug 2024,19
practice,50.255768169999996,11,Aug 2024,17
game,52.57429427368421,12,Aug 2024,19
game,61.62385948,12,Aug 2024,18
practice,54.88811984,12,Aug 2024,20
game,64.39298391529412,13,Aug 2024,17
game,75.83420952,13,Aug 2024,16
practice,53.993368704905656,13,Aug 2024,17
game,93.85409130352942,14,Sep 2024,17
game,104.05678362352941,14,Sep 2024,17
practice,50.079700660143885,14,Sep 2024,17
game,98.99472054857142,15,Sep 2024,14
practice,59.646499036363636,15,Sep 2024,14
game,99.9884589,16,Sep 2024,12
practice,53.78246673,16,Sep 2024,12
game,102.874126992,17,Sep 2024,15
game,89.75583522,17,Sep 2024,16
practice,53.075651314285714,17,Sep 2024,14
game,99.58527708000001,18,Oct 2024,12
practice,56.003005300298504,18,Oct 2024,12
game,98.84729414769231,19,Oct 2024,13
practice,50.54233157010989,19,Oct 2024,13
game,100.414671408,20,Oct 2024,10
practice,56.34509432,20,Oct 2024,8
game,97.79637322285714,21,Oct 2024,14
practice,70.22966811636364,21,Oct 2024,14
game,97.60934425846153,22,Oct 2024,13
game,100.30485196800001,23,Nov 2024,15
game,98.681755392,23,Nov 2024,15
game,57.978715,62,Aug 2025,24
game,96.77361076923077,62,Aug 2025,26
practice,50.15402634615384,62,Aug 2025,27
game,81.80824818181817,63,Aug 2025,22
game,91.3785596,63,Aug 2025,25
practice,48.70243446601941,63,Aug 2025,25
game,93.35304307692307,64,Aug 2025,26
practice,56.98781368932039,64,Aug 2025,26
game,86.3731195,65,Aug 2025,20
game,91.159142,65,Aug 2025,20
practice,52.22303743589744,65,Aug 2025,21
game,99.730358,66,Sep 2025,20
practice,55.21408118421052,66,Sep 2025,20
game,94.92869555555555,67,Sep 2025,18
practice,54.70297391304348,67,Sep 2025,18
game,93.28885333333334,68,Sep 2025,18
game,94.36449294117648,68,Sep 2025,17
practice,52.29798453125,68,Sep 2025,20
game,56.799144,69,Sep 2025,20
practice,53.71362472222222,69,Sep 2025,20
